ProductName,Seller,UsageType,Region,CostUSD
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,E56A-940F-3700:41748,europe-west4,1053.386323
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,us-central1,1046.2221490000002
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,us-west4,1036.446641
"GCP NGINX, Inc NGINX Plus Enterprise - RHEL 8","NGINX, Inc",15CD-827E-A8D3:NGINXInc,us-west2,1011.8394850000003
GCP Maidenhead Bridge Limited csc-gre-1g-gloud,Maidenhead Bridge Limited,7B46-B41D-D374:MaidenheadBridgeLimited,europe-west2,1009.8561276454179
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 10Gbps,Fortinet Inc.,A808-EE38-9D59:FortinetInc,europe-west3,1001.4390229999997
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall Bundle 2",Palo Alto Networks,6C97-F838-70BB:PaloAltoNetworks,us-east1,952.3195790000002
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,51EF-10DE-2429:Fortigcpproject001,us-central1,929.3430475199084
GCP Redis Labs Redis Enterprise Cloud,Redis Labs,927F-346C-7CD9:RedisLabs,(not set),886.5399999999997
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,us-east1,845.4723369999998
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,2B07-BB4E-16DD:41748,us-central1,825.8397820000004
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,2B07-BB4E-16DD:41748,us-east4,819.1998000000002
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,360C-99CB-EB21:Fortigcpproject001,us-east4,817.7912740000003
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,360C-99CB-EB21:Fortigcpproject001,us-east1,817.4059410000002
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,us-east5,758.879682
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,europe-north1,758.8796819999999
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 1Gbps,Fortinet Inc.,A015-0A74-1251:FortinetInc,us-west4,743.9995790000002
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 5Gbps,Fortinet Inc.,A4C3-9442-6186:FortinetInc,australia-southeast2,737.9019679999999
